video_id,trending_date,title,channel_title,category_id,publish_time,views,likes,dislikes,comment_count
zZyTTBXwd88,18.13.02,『ハッピーシンセサイザ』 踊って歌ってみた！,A.I.Channel,1,2018-02-12T11:13:24.000Z,165799,11606,387,2695
zZyTTBXwd88,18.13.02,『ハッピーシンセサイザ』 踊って歌ってみた！,A.I.Channel,1,2018-02-12T11:13:24.000Z,165799,11606,387,2695
zZyTTBXwd88,18.14.02,『ハッピーシンセサイザ』 踊って歌ってみた！,A.I.Channel,1,2018-02-12T11:13:24.000Z,358100,14158,632,3208
ZzYLkQkNSck,18.22.03,J=J新曲MV、モー娘。20周年企画、つばきファクトリーの定点観測、モー 娘。’18ライブ映像、教えて○○先生、石田亜佑美ヘアアレンジ紹 介、こぶし企画Part1 MC：金澤朋子【ハロ！ステ#262】,ハロ！ステ,10,2018-03-21T12:00:03.000Z,66376,1243,58,508
ZzYLkQkNSck,18.22.03,J=J新曲MV、モー娘。20周年企画、つばきファクトリーの定点観測、モー 娘。’18ライブ映像、教えて○○先生、石田亜佑美ヘアアレンジ紹 介、こぶし企画Part1 MC：金澤朋子【ハロ！ステ#262】,ハロ！ステ,10,2018-03-21T12:00:03.000Z,66376,1243,58,508
zzyGHbhCpV4,18.15.02,【平昌五輪】「モルゲッソヨ」前に集合ー！ テレビじゃ流せない韓国珍名所ｗｗ,KAZUYA CHANNEL GX,25,2018-02-15T09:00:03.000Z,3413,172,4,70
zzyGHbhCpV4,18.15.02,【平昌五輪】「モルゲッソヨ」前に集合ー！ テレビじゃ流せない韓国珍名所ｗｗ,KAZUYA CHANNEL GX,25,2018-02-15T09:00:03.000Z,3413,172,4,70
zzyGHbhCpV4,18.16.02,【平昌五輪】「モルゲッソヨ」前に集合ー！ テレビじゃ流せない韓国珍名所ｗｗ,KAZUYA CHANNEL GX,25,2018-02-15T09:00:03.000Z,9760,233,10,87
ZZxxyfz_AAc,18.24.05,日大アメフト内田前監督と井上コーチが緊急会見！反則指示について言及か｜アベマTVアプリで高画質視聴しよう！,AbemaTV公式 YouTube,25,2018-05-23T13:19:56.000Z,377777,356,3064,242
ZZxxyfz_AAc,18.24.05,日大アメフト内田前監督と井上コーチが緊急会見！反則指示について言及か｜アベマTVアプリで高画質視聴しよう！,AbemaTV公式 YouTube,25,2018-05-23T13:19:56.000Z,377777,356,3064,242
ZZxxyfz_AAc,18.25.05,日大アメフト内田前監督と井上コーチが緊急会見！反則指示について言及か｜アベマTVアプリで高画質視聴しよう！,AbemaTV公式 YouTube,25,2018-05-23T13:19:56.000Z,390356,367,3157,286
zZTQSeGcqBI,18.26.04,国分太一が涙の謝罪!! 山口達也の女子高生問題について【ビビット】,開闢の使者,22,2018-04-25T23:08:05.000Z,6393,20,9,6
zZTQSeGcqBI,18.26.04,国分太一が涙の謝罪!! 山口達也の女子高生問題について【ビビット】,開闢の使者,22,2018-04-25T23:08:05.000Z,6393,20,9,6
ZzRkS2j-OvQ,18.22.05,西城秀樹の告別式を樹木希林など大物芸能人の欠席が相次ぐ”裏の理由”に一同驚愕！,激白！！スーパー芸能チャンネル！！,24,2018-05-21T03:24:40.000Z,106653,0,0,46
ZzRkS2j-OvQ,18.22.05,西城秀樹の告別式を樹木希林など大物芸能人の欠席が相次ぐ”裏の理由”に一同驚愕！,激白！！スーパー芸能チャンネル！！,24,2018-05-21T03:24:40.000Z,106653,0,0,46
zzNmmu76FFg,18.17.04,ビター・ブラッド Bitter Blood Episode 9 English Subbed,Kaito Tamiko,22,2018-04-05T17:12:44.000Z,14196,41,1,0
ZZkhHbOSOMU,18.22.05,ベイブレードバースト「ヘルサラマンダ―.12.Op編 -マスターブレーダーセレクション-」,タカラトミー TAKARATOMY,24,2018-05-21T01:00:01.000Z,79045,803,38,272
